well_code;field_prefix;n_rows;rho_implied_ozna_kg_m3;rho_pvt_degassed_kg_m3;delta_pct
Ic_359;Ic;121;830.0;808.1644;2.7
Ic_360;Ic;724;822.5;808.1644;1.77
Ic_361;Ic;245;816.0;808.1644;0.97
Ic_367;Ic;785;822.0;808.1644;1.71
Ic_368;Ic;121;838.0;808.1644;3.69
Ic_369;Ic;121;833.0;808.1644;3.07
Ic_370;Ic;121;827.0;808.1644;2.33
Ic_386;Ic;778;825.0;808.1644;2.08
Ic_405;Ic;241;841.0;808.1644;4.06
Ic_802;Ic;355;820.0;808.1644;1.46
Ic_803;Ic;1510;820.0;808.1644;1.46
Ic_805;Ic;363;820.0;808.1644;1.46
Ic_806;Ic;446;816.0;808.1644;0.97
Ic_807;Ic;542;830.0;808.1644;2.7
Ic_808;Ic;121;817.0;808.1644;1.09
Ic_903;Ic;121;827.0;808.1644;2.33
Ic_914;Ic;363;820.0;808.1644;1.46
Ic_916;Ic;362;824.0;808.1644;1.96
Ic_917;Ic;2951;829.0;808.1644;2.58
Ki_037;Ki;1680;825.0;825.9921;-0.12
Ki_3701;Ki;4005;770.0;825.9921;-6.78
Ki_3702;Ki;2333;825.0;825.9921;-0.12
Ki_3703;Ki;2142;815.0;825.9921;-1.33
Ki_3704;Ki;3986;829.0;825.9921;0.36
Ki_4701;Ki;181;827.0;825.9921;0.12
Ki_4703;Ki;2388;820.0;825.9921;-0.73
Ki_4704;Ki;2736;821.0;825.9921;-0.6
Ki_4705;Ki;1804;821.0;825.9921;-0.6
Ki_4706;Ki;1640;821.0;825.9921;-0.6
Ki_4707;Ki;302;808.0;825.9921;-2.18
Ki_4708;Ki;121;836.0;825.9921;1.21
Ki_71601;Ki;195;825.0;825.9921;-0.12
Ki_71602;Ki;181;820.0;825.9921;-0.73
Ki_71603;Ki;121;735.0;825.9921;-11.02
Ki_8901;Ki;181;810.0;825.9921;-1.94
Ma_205;Ma;253;827.0;808.1644;2.33
Ma_207;Ma;361;815.0;808.1644;0.85
Ma_220;Ma;450;825.0;808.1644;2.08
Ma_222;Ma;910;830.0;808.1644;2.7
Ma_226;Ma;1428;826.0;808.1644;2.21
Ma_805;Ma;1144;807.0;808.1644;-0.14
Msh_3701;Msh;121;716.0;825.9921;-13.32
Msh_3706;Msh;1724;796.0;825.9921;-3.63
Msh_3707;Msh;847;825.0;825.9921;-0.12
Msh_7001;Msh;3147;825.0;825.9921;-0.12
Msh_7002;Msh;1153;716.0;825.9921;-13.32
Vt_052;Vt;892;825.0;808.1644;2.08
Vt_054;Vt;1870;816.0;808.1644;0.97
Vt_17001;Vt;467;802.0;808.1644;-0.76
Vt_17901;Vt;912;800.0;808.1644;-1.01
Vt_17902;Vt;885;800.0;808.1644;-1.01
Vt_17904;Vt;1079;790.0;808.1644;-2.25
Vt_2501;Vt;243;825.0;808.1644;2.08
Vt_2505;Vt;582;807.0;808.1644;-0.14
Vt_2506;Vt;467;811.0;808.1644;0.35
Vt_302;Vt;182;820.0;808.1644;1.46
Vt_303;Vt;760;820.0;808.1644;1.46
Vt_320;Vt;1528;807.0;808.1644;-0.14
Vt_330;Vt;796;820.0;808.1644;1.46
Vt_3301;Vt;1073;820.0;808.1644;1.46
Vt_3302;Vt;61;865.0;808.1644;7.03
Vt_3304;Vt;1276;820.0;808.1644;1.46
Vt_3305;Vt;302;865.0;808.1644;7.03
Vt_3306;Vt;423;820.0;808.1644;1.46
Vt_3307;Vt;363;828.0;808.1644;2.45
Vt_3308;Vt;483;822.0;808.1644;1.71
Vt_3309;Vt;242;822.0;808.1644;1.71
Vt_3310;Vt;242;848.0;808.1644;4.93
Vt_3311;Vt;242;861.0;808.1644;6.54
Vt_3313;Vt;784;822.0;808.1644;1.71
Vt_3323;Vt;302;821.0;808.1644;1.59
Vt_33301;Vt;2395;821.0;808.1644;1.59
Vt_33302;Vt;1872;827.0;808.1644;2.33
Vt_33303;Vt;2087;828.0;808.1644;2.45
Vt_33304;Vt;838;830.0;808.1644;2.7
Vt_33305;Vt;2106;817.0;808.1644;1.09
Vt_33306;Vt;862;819.0;808.1644;1.34
Vt_33307;Vt;752;825.0;808.1644;2.08
Vt_33308;Vt;390;825.0;808.1644;2.08
Vt_33310;Vt;363;820.0;808.1644;1.46
Vt_33311;Vt;61;832.0;808.1644;2.95
Vt_337;Vt;282;820.0;808.1644;1.46
Vt_3405;Vt;421;835.0;808.1644;3.32
Vt_3406;Vt;1056;825.0;808.1644;2.08
Vt_4401;Vt;1931;830.0;808.1644;2.7
Vt_4403;Vt;1147;819.0;808.1644;1.34
Vt_4404;Vt;1289;820.0;808.1644;1.46
Vt_4406;Vt;1007;828.0;808.1644;2.45
Vt_4407;Vt;617;833.0;808.1644;3.07
Vt_4408;Vt;466;818.0;808.1644;1.22
Vt_4501;Vt;1501;820.0;808.1644;1.46
Vt_4502;Vt;689;820.0;808.1644;1.46
Vt_4504;Vt;922;820.0;808.1644;1.46
Vt_4505;Vt;2175;825.0;808.1644;2.08
Vt_4507;Vt;319;820.0;808.1644;1.46
Vt_4601;Vt;7632;829.0;808.1644;2.58
Vt_4602;Vt;997;830.0;808.1644;2.7
Vt_4603;Vt;4624;827.0;808.1644;2.33
Vt_4604;Vt;4573;820.0;808.1644;1.46
Vt_4605;Vt;2193;820.0;808.1644;1.46
Vt_4606;Vt;4359;820.0;808.1644;1.46
Vt_4607;Vt;4516;820.0;808.1644;1.46
Vt_4608;Vt;2568;820.0;808.1644;1.46
Vt_4609;Vt;3174;820.0;808.1644;1.46
Vt_4610;Vt;1328;820.0;808.1644;1.46
Vt_4702;Vt;359;830.0;808.1644;2.7
Vt_5003;Vt;2799;826.0;808.1644;2.21
Vt_5004;Vt;4189;823.0;808.1644;1.84
Vt_5005;Vt;2274;821.0;808.1644;1.59
Vt_5006;Vt;181;821.0;808.1644;1.59
Vt_5007;Vt;1714;831.0;808.1644;2.83
Vt_5008;Vt;786;817.0;808.1644;1.09
Vt_5101;Vt;4557;831.0;808.1644;2.83
Vt_5104;Vt;883;820.0;808.1644;1.46
Vt_5107;Vt;1498;820.0;808.1644;1.46
Vt_5109;Vt;1619;821.0;808.1644;1.59
Vt_5110;Vt;1271;820.0;808.1644;1.46
Vt_5201;Vt;1036;820.0;808.1644;1.46
Vt_5202;Vt;852;816.0;808.1644;0.97
Vt_5501;Vt;181;816.0;808.1644;0.97
Vt_5601;Vt;61;820.0;808.1644;1.46
Vt_5602;Vt;4095;823.0;808.1644;1.84
Vt_5604;Vt;2279;821.0;808.1644;1.59
Vt_5607;Vt;1054;823.0;808.1644;1.84
Vt_5608;Vt;1036;822.0;808.1644;1.71
Vt_5609;Vt;2234;821.0;808.1644;1.59
Vt_5611;Vt;2393;820.0;808.1644;1.46
Vt_5612;Vt;1458;825.0;808.1644;2.08
Vt_5701;Vt;467;820.0;808.1644;1.46
Vt_5703;Vt;61;825.0;808.1644;2.08
Vt_5706;Vt;2310;821.0;808.1644;1.59
Vt_5707;Vt;1540;825.0;808.1644;2.08
Vt_5709;Vt;1150;820.0;808.1644;1.46
Vt_5710;Vt;3166;825.0;808.1644;2.08
Vt_602;Vt;121;820.0;808.1644;1.46
Vt_603;Vt;121;818.0;808.1644;1.22
Vt_606;Vt;484;820.0;808.1644;1.46
